"","BBAS3 ","BBDC3 ","",""
"1","30.2329108478195","16.2395137357714","1.57467075365274","Fora"
"2","29.8","15.05","1.57467075365274","OpenRight"
"3","29.35","14.862","1.57467075365274","OpenRight"
"4","29.01","15.175","1.57467075365274","OpenRight"
"5","29.7","15.349","1.57467075365274","OpenRight"
"6","30.31","15.697","1.57467075365274","OpenRight"
"7","30.85","15.293","1.57467075365274","OpenRight"
"8","31.74","15.261","1.57467075365274","OpenRight"
"9","30.12","15.042","1.57467075365274","OpenRight"
"10","30","15.258","1.57467075365274","OpenRight"
"11","29.31","14.979","1.57467075365274","OpenRight"
"12","29.3","14.575","1.57467075365274","OpenRight"
"13","28.99","14.055","1.57467075365274","OpenRight"
"14","28.55","14.102","1.57467075365274","OpenRight"
"15","27.09","13.475","1.57467075365274","OpenRight"
"16","28.7","13.475","1.57467075365274","OpenRight"
"17","27.4","12.974","1.57467075365274","OpenRight"
"18","29.45","14.023","1.57467075365274","OpenRight"
"19","30.7547628642823","14.7246777179818","1.57467075365274","OpenRight"
"20","29.1","14.023","1.57467075365274","OpenRight"
"21","29.7","13.954","1.57467075365274","OpenRight"
"22","30.4","13.804","1.57467075365274","OpenRight"
"23","29.25","13.475","1.57467075365274","OpenRight"
"24","29","13.475","1.57467075365274","OpenRight"
"25","28.9199705297078","13.3628637139707","1.57467075365274","OpenRight"
"26","28.6942362045018","13.2542988143973","1.57467075365274","OpenRight"
"27","28.35","13.155","1.57467075365274","OpenRight"
"28","28","13.052","1.57467075365274","OpenRight"
"29","28","12.892","1.57467075365274","OpenRight"
"30","28.25","13.412","1.57467075365274","OutRight"
"31","28.75","13.6","1.57467075365274","Fora"
"32","28.76","13.788","1.57467075365274","Fora"
"33","28.25","13.506","1.57467075365274","Fora"
"34","28.55","13.538","1.57467075365274","Fora"
"35","29.6","13.879","1.57467075365274","Fora"
"36","30.05","13.754","1.57467075365274","OpenRight"
"37","30.89","13.82","1.57467075365274","OpenRight"
"38","31.7","13.845","1.57467075365274","OpenRight"
"39","31.15","14.133","1.57467075365274","OpenRight"
"40","30","14.399","1.57467075365274","OutRight"
"41","28.51","14.826","1.57467075365274","OpenLeft"
"42","28.25","15.104","1.57467075365274","OpenLeft"
"43","28.1","15.606","1.57467075365274","OpenLeft"
"44","28.27","14.885","1.57467075365274","OpenLeft"
"45","27.8","15.355","1.57467075365274","OpenLeft"
"46","27.2","15.12","1.57467075365274","OpenLeft"
"47","27.74","15.308","1.57467075365274","OpenLeft"
"48","27.2","14.634","1.57467075365274","OpenLeft"
"49","26.8","14.387","1.57467075365274","OpenLeft"
"50","26.5","14.102","1.57467075365274","OpenLeft"
"51","26.59","14.713","1.57467075365274","OpenLeft"
"52","25.77","14.681","1.57467075365274","OpenLeft"
"53","25.8","14.446","1.57467075365274","OpenLeft"
"54","26.5","14.321","1.57467075365274","OpenLeft"
"55","25.2","14.052","1.57467075365274","OpenLeft"
"56","25.75","14.29","1.57467075365274","OpenLeft"
"57","25.25","13.409","1.57467075365274","OpenLeft"
"58","24.9","13.459","1.57467075365274","OpenLeft"
"59","24.7621096214185","13.5540775371489","1.57467075365274","OpenLeft"
"60","25.5","13.632","1.57467075365274","OpenLeft"
"61","26","14.014","1.57467075365274","OpenLeft"
"62","25.5","13.726","1.57467075365274","OpenLeft"
"63","24.6","13.475","1.57467075365274","OpenLeft"
"64","23.42","13.256","1.57467075365274","OpenLeft"
"65","23.11","13.381","1.57467075365274","OpenLeft"
"66","24.66","13.726","1.57467075365274","OpenLeft"
"67","25.25","13.788","1.57467075365274","OpenLeft"
"68","24.9","13.663","1.57467075365274","OpenLeft"
"69","24.66","13.945","1.57467075365274","OpenLeft"
"70","24.95","14.102","1.57467075365274","OpenLeft"
"71","25.1","14.29","1.57467075365274","OpenLeft"
"72","24.35","13.97","1.57467075365274","OpenLeft"
"73","23.56","14.238","1.57467075365274","OpenLeft"
"74","23.4","13.961","1.57467075365274","OpenLeft"
"75","22.62","13.679","1.57467075365274","OpenLeft"
"76","22.77","13.773","1.57467075365274","OpenLeft"
"77","24.35","14.266","1.57467075365274","OpenLeft"
"78","25.35","14.478","1.57467075365274","OutLeft"
"79","25.4","14.572","1.57467075365274","Fora"
"80","25.5226110746143","14.4858458964409","1.57467075365274","Fora"
"81","25.1","14.464","1.57467075365274","Fora"
"82","24.55","14.501","1.57467075365274","Fora"
"83","25.32","14.572","1.57467075365274","Fora"
"84","26.6","14.75","1.57467075365274","OpenRight"
"85","26.75","14.76","1.57467075365274","OpenRight"
"86","26.36","14.45","1.57467075365274","OpenRight"
"87","28.9","15.46","1.57467075365274","OpenRight"
"88","30.2895937995966","16.0639673568773","1.57467075365274","OpenRight"
"89","30.43","16.212","1.57467075365274","OpenRight"
"90","30","16.151","1.57467075365274","OpenRight"
"91","28.9","15.512","1.57467075365274","OpenRight"
"92","27.99","15.512","1.57467075365274","OpenRight"
"93","28.75","15.7","1.57467075365274","OpenRight"
"94","28.55","15.606","1.57467075365274","OpenRight"
"95","28.99","15.864","1.57467075365274","OpenRight"
"96","28.4","15.723","1.57467075365274","OpenRight"
"97","28.93","15.606","1.57467075365274","OpenRight"
"98","29.5","15.629","1.57467075365274","OpenRight"
"99","29.9","15.836","1.57467075365274","OpenRight"
"100","30.15","15.982","1.57467075365274","OpenRight"
"101","30.1","15.911","1.57467075365274","OpenRight"
"102","29.15","15.559","1.57467075365274","OpenRight"
"103","28.5358427120001","15.4482657947978","1.57467075365274","OpenRight"
"104","28.33","15.502","1.57467075365274","OutRight"
"105","28.35","15.361","1.57467075365274","Fora"
"106","29.1","15.512","1.57467075365274","Fora"
"107","30.85","16.052","1.57467075365274","OpenRight"
"108","31.01","15.982","1.57467075365274","OpenRight"
"109","32.54","16.076","1.57467075365274","OpenRight"
"110","31.67","15.883","1.57467075365274","OpenRight"
"111","30.5","15.46","1.57467075365274","OpenRight"
"112","30.21","15.253","1.57467075365274","OpenRight"
"113","31.8","15.742","1.57467075365274","OpenRight"
"114","30.93","15.366","1.57467075365274","OpenRight"
"115","30.45","15.061","1.57467075365274","OpenRight"
"116","30.3","14.548","1.57467075365274","OpenRight"
"117","29.7","14.407","1.57467075365274","OpenRight"
"118","29.61","14.76","1.57467075365274","OpenRight"
